asset_y,asset_x,correlation,cointegration_pvalue,cointegration_passed,half_life,liquidity_passed,avg_dollar_volume_y,avg_dollar_volume_x,rank
PEP,COST,0.6227825042074252,0.0002478914771177661,True,9.566571828627225,True,534232827.91383,722777738.5646641,1
UNP,AVGO,0.6140988870917331,0.0003597804903906304,True,9.769209231008952,True,517485727.3612259,706676084.1605889,2
CMCSA,HON,0.5837626175198762,0.0005711900876865935,True,10.033131054707685,True,729738935.4144876,468794501.8630687,3
BRK-B,PM,0.6304183074055971,0.001012469492434005,True,17.274298270513725,True,1098229390.2102773,320031436.668986,4
JNJ,ABBV,0.4569893465503046,0.0020399730173859478,True,13.286041691765455,True,927247697.977233,584479424.7005873,5
MRK,ACN,0.507550251261609,0.002762197268536184,True,14.177466781449462,True,717872747.4815154,432424088.5085552,6
MRK,ORCL,0.4007432437833234,0.002926223911876633,True,14.937243388257363,True,717872747.4815154,718087935.5085162,7
CRM,TMO,0.4605073393226708,0.003300627423884603,True,17.707300200626683,True,1280174065.3337307,598353168.3848321,8
MRK,MCD,0.4690724568877804,0.003373031734978677,True,14.310966324005216,True,717872747.4815154,591722849.7645324,9
MRK,TMO,0.5372483479854834,0.0036414678215481444,True,14.877909019304251,True,717872747.4815154,598353168.3848321,10
MRK,PEP,0.4857414454747973,0.003804406306525272,True,13.357024270690276,True,717872747.4815154,534232827.91383,11
JNJ,LLY,0.5375244776519461,0.00473935732961451,True,14.297005765939192,True,927247697.977233,675955603.0794615,12
MRK,LLY,0.5110656675634241,0.004905196528249577,True,15.838309858004509,True,717872747.4815154,675955603.0794615,13
MRK,ABBV,0.506853871520644,0.0050230365013937016,True,15.924847493244904,True,717872747.4815154,584479424.7005873,14
MRK,CMCSA,0.4061055475009251,0.005588657722039172,True,15.300327150026455,True,717872747.4815154,729738935.4144876,15
MRK,ABT,0.5451388946016185,0.005750696673195432,True,15.796199206854627,True,717872747.4815154,504749720.4380175,16
MRK,UNP,0.40300443934206487,0.0057835256983883,True,15.013004229822242,True,717872747.4815154,517485727.3612259,17
MRK,MDT,0.4963745173186525,0.006050259431232719,True,14.158629461917126,True,717872747.4815154,459143529.57705086,18
MRK,HON,0.43457589705052646,0.006508909569578983,True,15.12504629073065,True,717872747.4815154,468794501.8630687,19
GOOGL,UNH,0.5298167675198304,0.006752330921970529,True,18.705420804796,True,2773384502.8934636,1029260381.0079291,20
MRK,IBM,0.4377028801115526,0.007324677515981016,True,16.686284789370273,True,717872747.4815154,499769624.78561574,21
NKE,TMO,0.42004923403759753,0.007553040577127978,True,19.01558270970671,True,687152791.4826304,598353168.3848321,22
UNH,ABBV,0.5082818936848501,0.008192071897394213,True,16.502213707573237,True,1029260381.0079291,584479424.7005873,23
IBM,HON,0.6464252784916498,0.008806421233702727,True,21.52437799947787,True,499769624.78561574,468794501.8630687,24
CVX,WFC,0.6638885338066725,0.00917489265162023,True,18.769626577273147,True,727458938.1073058,979560150.6419518,25
MRK,BMY,0.566988298034615,0.009460309507703235,True,16.138938754410358,True,717872747.4815154,608783273.4984348,26
MRK,AMGN,0.5593796865692614,0.009729473007991192,True,17.16065535630748,True,717872747.4815154,498783690.1343398,27
MRK,PM,0.45664807743055263,0.009850930761525965,True,15.719322262922189,True,717872747.4815154,320031436.668986,28
IBM,ACN,0.6290406813637578,0.010381040524978465,True,23.28803774464748,True,499769624.78561574,432424088.5085552,29
META,TXN,0.5387491481699573,0.011479563314637658,True,18.46042844521669,True,4658874816.03807,567732504.8613014,30
META,NKE,0.43654267185497375,0.011583300170835049,True,19.117099195926524,True,4658874816.03807,687152791.4826304,31
ABT,NKE,0.4602985289393465,0.01366301694860519,True,18.26078529614363,True,504749720.4380175,687152791.4826304,32
MA,TXN,0.6085558250669868,0.014551943519048701,True,21.804481357551076,True,1197351949.1680717,567732504.8613014,33
MA,AMGN,0.44319599587889086,0.01462978164374573,True,27.736953354609128,True,1197351949.1680717,498783690.1343398,34
VZ,AMGN,0.45771406880575227,0.014953413250350548,True,13.54105038537087,True,637913446.4116843,498783690.1343398,35
META,UNH,0.44361296856064614,0.015027942010291912,True,20.300225213428522,True,4658874816.03807,1029260381.0079291,36
MA,ABT,0.5161205413247393,0.015838641650463208,True,20.6598875848694,True,1197351949.1680717,504749720.4380175,37
AMGN,BMY,0.5139844736448459,0.017023271991292502,True,17.215411226615565,True,498783690.1343398,608783273.4984348,38
MA,ABBV,0.46720343293887867,0.01784843288015959,True,25.021603906815056,True,1197351949.1680717,584479424.7005873,39
ABT,UNP,0.42366651841972675,0.018297190682059167,True,19.459978310155762,True,504749720.4380175,517485727.3612259,40
ABT,TMO,0.6970664132352743,0.018357687424679022,True,16.516268628017265,True,504749720.4380175,598353168.3848321,41
META,UNP,0.40851638239912796,0.019017897112171816,True,18.958879694966928,True,4658874816.03807,517485727.3612259,42
MSFT,ABBV,0.4962679422024353,0.01914876253373577,True,30.73850141745811,True,5504314101.166322,584479424.7005873,43
INTC,AMGN,0.44666069620157584,0.020364491334696585,True,20.64084948729593,True,1317822322.7247026,498783690.1343398,44
IBM,TXN,0.566105954398199,0.020395245745733506,True,23.881030249187294,True,499769624.78561574,567732504.8613014,45
ABT,TXN,0.5327829428460762,0.021662608008049478,True,18.43646033520119,True,504749720.4380175,567732504.8613014,46
UNH,LLY,0.45009775239627997,0.022223971557358925,True,23.003100507805037,True,1029260381.0079291,675955603.0794615,47
UNH,ACN,0.5482806820378563,0.022797614354299178,True,22.045181336052927,True,1029260381.0079291,432424088.5085552,48
IBM,AVGO,0.5135625209958568,0.02284263307696337,True,22.89293559005009,True,499769624.78561574,706676084.1605889,49
XOM,CVX,0.8541949811958349,0.02373478072822877,True,14.378628323743197,True,908724134.5643145,727458938.1073058,50
